Regne,Categorie,Code_espece,Nom_francais,Nom_latin,Nom_anglais,img_path,is_invasive
,,zzz,Espèce non répertoriée,,Unlisted species,,True
Flore,Plantes aquatiques flottantes,CHATA,Châtaigne d'eau,"Trapa natans",Water chestnut,trapa_natans.jpg,True
Flore,Plantes aquatiques flottantes,FAUXN,Faux-nymphéa pelté,"Nymphoides peltata",Yellow floatingheart,question_mark.jpg,True
Flore,Plantes aquatiques flottantes,HYDRO,Hydrocharide grenouillette,"Hydrocharis morsus-ranae",European frog-bit,hydrocharis_morsus-ranae.jpg,True
Flore,Plantes aquatiques flottantes,JACYN,Jacinthe d'eau,"Eichhornia crassipes",Water hyacinth,question_mark.jpg,True
Flore,Plantes aquatiques flottantes,LAITU,Laitue d'eau,"Pistia stratiotes",Water lettuce,question_mark.jpg,TruHeracleum mantegazzianume
Flore,Plantes aquatiques flottantes,SALVI,Salvinia,"Salvinia spp.",Water moss,question_mark.jpg,True
Flore,Plantes aquatiques submergées,CABOM,Cabomba de Caroline,"Cabomba caroliniana",Fanwort,question_mark.jpg,True
Flore,Plantes aquatiques submergées,ELODE,Élodée dense,"Egeria densa",Brazilian waterweed,question_mark.jpg,True
Flore,Plantes aquatiques submergées,HYDRI,Hydrille verticillé,"Hydrilla verticillata",Hydrilla,question_mark.jpg,True
Flore,Plantes aquatiques submergées,MYREP,Myriophylle à épis,"Myriophyllum spicatum",Eurasian water-milfoil,myriophyllum_spicatum.jpg,True
Flore,Plantes aquatiques submergées,MYRAQ,Myriophylle aquatique,"Myriophyllum aquaticum",Parrot feather,question_mark.jpg,True
Flore,Plantes aquatiques submergées,NITET,Nitelle étoilée,"Nitellopsis obtusa",Starry stonewort,question_mark.jpg,True
Flore,Plantes aquatiques submergées,PETNA,Petite naïade,"Najas minor",Brittle-leaved naid,question_mark.jpg,True
Flore,Plantes aquatiques submergées,POTAM,Potamot crépu,"Potamogeton crispus",Curly-leaved pondweed,potamogeton_crispus.jpg,True
Flore,Plantes de milieux terrestres,ALLIA,Alliaire officinale,"Alliaria petiolata",Garlic mustard,alliaria_petiolata.jpg,True
Flore,Plantes de milieux terrestres,ANTHR,Anthrisque des bois,"Anthriscus sylvestris",Wild chervil,question_mark.jpg,True
Flore,Plantes de milieux terrestres,BECO,Berce commune,"Heracleum sphondylium",Meadow cow-parsnip,heracleum_sphondylium.jpg,True
Flore,Plantes de milieux terrestres,BERCE,Berce du Caucase,"Heracleum mantegazzianum",Giant hogweed,heracleum_mantegazzianum.jpg,True
Flore,Plantes de milieux terrestres,CONSO,Consoude officinale,"Symphytum officinale",Common comfrey,question_mark.jpg,True
Flore,Plantes de milieux terrestres,DOMPR,Dompte-venin de Russie,"Vincetoxicum rossicum",European swallowwort,vincetoxicum_rossicum.jpg,True
Flore,Plantes de milieux terrestres,DOMPN,Dompte-venin noir,"Vincetoxicum nigrum",Black swallowwort,vincetoxicum_nigrum.jpg,True
Flore,Plantes de milieux terrestres,EGOPO,Égopode podagraire,"Aegopodium podagraria",Goutweed,question_mark.jpg,True
Flore,Plantes de milieux terrestres,ACENU,Érable à Giguère,"Acer negundo",Manitoba Maple,question_mark.jpg,True
Flore,Plantes de milieux terrestres,ERANO,Érable de Norvège,"Acer platanoides",Norway maple,acer_platanoides.jpg,True
Flore,Plantes de milieux terrestres,GAILL,Gaillet mollugine,"Galium mollugo",Smooth bedstraw,question_mark.jpg,True
Flore,Plantes de milieux terrestres,IMPAT,Impatiente glanduleuse,"Impatiens glandulifera",Himalayan balsam,impatiens_glandulifera.jpg,True
Flore,Plantes de milieux terrestres,LYSIM,Lysimaque nummulaire,"Lysimachia nummularia",Creeping yellow loosestrife,question_mark.jpg,True
Flore,Plantes de milieux terrestres,MISCA,Miscanthus commun,"Miscanthus sacchariflorus",Amur silvergrass,question_mark.jpg,True
Flore,Plantes de milieux terrestres,NERPB,Nerprun bourdaine,"Frangula alnus",Glossy buckthorn,frangula_alnus.jpg,True
Flore,Plantes de milieux terrestres,NERPC,Nerprun cathartique,"Rhamnus cathartica",European buckthorn,rhamnus_cathartica.jpg,True
Flore,Plantes de milieux terrestres,ULMU,Orme de Sibérie,"Ulmus pumila",Siberian elm,question_mark.jpg,True
Flore,Plantes de milieux terrestres,PANAI,Panais sauvage,"Pastinaca sativa",Wild parsnip,question_mark.jpg,True
Flore,Plantes de milieux terrestres,PETAJ,Pétasite du Japon,"Petasites japonicus",Japanese sweet coltsfoot,question_mark.jpg,True
Flore,Plantes de milieux terrestres,RENFI,Renoncule ficaire,"Ficaria verna,Lesser celandine", fig buttercup,question_mark.jpg,True
Flore,Plantes de milieux terrestres,RENOB,Renouée de Bohème,"Reynoutria ×bohemica",Bohemian knotweed,reynoutria_bohemica.jpg,True
Flore,Plantes de milieux terrestres,RENOS,Renouée de Sakhaline,"Reynoutria sachalinensis",Giant knotweed,reynoutria_sachalinensis.jpg,True
Flore,Plantes de milieux terrestres,RENOJ,Renouée du Japon,"Reynoutria japonica var. japonica",Japanese knotweed,reynoutria_japonica.jpg,True
Flore,Plantes de milieux terrestres,TOPI,Topinambour,"Helianthus tuberosus",Jerusalem artichoke,question_mark.jpg,True
Flore,Plantes de milieux terrestres,VALO,Valériane officinale,"Valeriana officinalis",Common valerian,question_mark.jpg,True
Flore,Plantes émergentes,ALPIS,Alpiste roseau,"Phalaris arundinacea",Reed canary grass,question_mark.jpg,True
Flore,Plantes émergentes,BUTOM,Butome à ombelle,"Butomus umbellatus",Flowering-rush,question_mark.jpg,True
Flore,Plantes émergentes,GLYCE,Glycérie aquatique,"Glyceria maxima",Rough mannagrass,question_mark.jpg,True
Flore,Plantes émergentes,IRISF,Iris faux-acore,"Iris pseudacorus",Yellow iris,question_mark.jpg,True
Flore,Plantes émergentes,RORIP,Rorippe amphibie,"Rorippa amphibia",Amphibious yellowcress,question_mark.jpg,True
Flore,Plantes émergentes,ROSEA,Roseau commun,"Phragmites australis subsp. australis",Common reed,phragmites_australis_subsp_australis.jpg,True
Flore,Plantes émergentes,SALIC,Salicaire commune,"Lythrum salicaria",Purple loosestrife,question_mark.jpg,True
Flore,Plantes émergentes,ALOES,Stratiote faux-aloès,"Stratiotes aloides",Water soldier,stratiotes_aloides.jpg,True
